,newlyConst,balcony,hasKitchen,cellar,baseRent,livingSpace,lift,noRooms,garden,heating,neighbourhoods
45,False,True,True,False,820.0,77.0,True,3.0,False,normal,Spandau
61,False,False,False,False,808.0,62.63,False,2.0,False,normal,Weißensee
77,True,True,True,True,1150.0,46.4,True,2.0,False,normal,Mitte
86,False,True,True,True,1200.0,67.0,True,2.5,False,normal,Kreuzberg
87,True,True,True,True,1338.43,73.54,True,2.0,False,normal,Tiergarten
126,False,True,True,True,1048.0,83.14,False,3.0,False,normal,Köpenick
142,False,True,False,False,435.61,62.23,True,3.0,False,normal,Marzahn
155,False,True,True,True,910.0,105.92,False,4.0,True,normal,Köpenick
187,False,True,True,True,699.0,71.2,True,3.0,False,normal,Hohenschönhausen_Hohenschönhausen
194,False,False,False,True,314.78,41.97,False,1.0,False,normal,Hellersdorf
200,False,True,True,True,2225.0,165.68,True,4.0,False,normal,Berg_Prenzlauer_Berg
286,False,True,True,False,792.0,88.0,False,3.5,False,normal,Buchholz_Pankow
300,True,True,True,True,2380.0,140.0,True,3.0,False,normal,Charlottenburg
383,False,True,True,True,1640.6,97.9,True,3.0,False,normal,Mitte
464,False,False,True,False,1456.35,97.09,False,3.0,False,normal,Berg_Prenzlauer_Berg
478,False,False,False,True,502.46,62.75,False,2.5,True,normal,Tempelhof
510,False,False,False,False,309.84,35.0,False,1.0,False,normal,Neukölln
522,False,True,False,False,1698.64,99.92,False,3.0,False,normal,Berg_Prenzlauer_Berg
527,False,True,True,True,845.0,41.58,False,2.0,False,normal,Tiergarten
547,False,True,True,True,875.0,81.0,False,2.0,True,normal,Charlottenburg
556,False,False,False,False,1247.7,145.0,False,4.5,False,normal,Wilmersdorf
570,False,False,True,False,1189.0,82.0,False,3.0,False,normal,Wedding
582,False,True,True,False,449.0,47.0,False,1.0,False,normal,Köpenick
594,True,True,True,True,1080.0,59.9,True,2.0,True,normal,Tiergarten
614,False,True,True,False,749.0,69.75,True,2.0,False,normal,Spandau
762,False,False,True,False,1013.0,68.06,True,3.0,False,normal,Tiergarten
782,False,True,True,True,1720.0,220.0,False,4.0,True,normal,Neukölln
810,False,False,True,True,450.0,40.0,False,1.5,False,normal,Pankow
848,False,True,True,False,1253.78,61.16,True,2.0,False,normal,Friedrichshain
853,False,True,True,True,636.01,68.75,False,3.0,False,normal,Weißensee
867,False,True,True,True,1150.0,49.39,False,2.0,False,normal,Mitte
883,False,True,True,False,1500.0,111.0,False,3.0,False,normal,Friedrichshain
957,False,False,False,False,430.0,36.08,False,1.0,False,normal,Wilmersdorf
986,False,True,True,True,1050.0,53.0,False,2.0,False,normal,Neukölln
995,False,True,True,False,764.0,46.34,False,2.0,False,normal,Reinickendorf
1027,False,False,True,True,980.0,93.0,False,2.0,False,normal,Wedding
1029,False,True,True,False,1387.36,95.68,True,2.0,False,normal,Charlottenburg
1035,False,False,False,False,990.0,90.0,False,3.0,False,normal,Köpenick
1044,False,True,True,True,890.0,83.0,True,3.0,True,normal,Buchholz_Pankow
1077,False,False,True,True,800.0,49.0,False,2.0,False,normal,Wedding
1080,False,True,True,False,1243.79,120.44,False,5.0,False,normal,Reinickendorf
1085,False,True,False,False,311.99,43.88,True,1.0,False,normal,Neukölln
1135,False,True,True,True,990.0,59.54,True,2.0,False,normal,Mitte
1160,False,True,True,False,640.0,11.0,False,1.0,False,normal,Tiergarten
1180,False,False,True,False,1577.34,68.58,True,2.0,False,normal,Mitte
1208,False,True,False,True,520.75,54.07,True,1.5,False,normal,Spandau
1227,False,True,True,False,3700.0,180.0,False,4.0,True,normal,Berg_Prenzlauer_Berg
1278,True,True,False,False,351.0,54.0,False,2.0,False,normal,Treptow
1296,False,True,False,False,503.87,57.33,False,2.0,False,normal,Schöneberg
1316,False,True,False,False,365.37,51.0,False,2.0,False,normal,Hohenschönhausen_Hohenschönhausen
1368,False,True,False,False,2750.0,106.1,False,4.0,False,normal,Mitte
1398,False,False,False,False,575.0,40.34,False,2.0,False,normal,Wedding
1426,False,False,True,False,1599.0,81.5,False,3.0,False,normal,Berg_Prenzlauer_Berg
1439,False,True,True,True,560.0,19.5,False,1.0,False,normal,Mitte
1474,False,True,False,True,1210.0,62.0,False,2.0,False,normal,Schöneberg
1476,False,False,False,True,625.0,78.88,False,2.0,False,normal,Friedrichshain
1485,False,True,False,False,629.0,59.95,False,2.0,False,normal,Wedding
1537,True,True,False,True,1763.63,160.33,True,7.0,False,normal,Weißensee
1577,False,True,False,False,510.0,38.0,True,1.0,False,normal,Lichtenberg
1582,False,False,True,True,745.0,68.0,False,2.5,True,normal,Lichtenberg
1610,True,False,False,True,2952.36,164.0,True,4.0,False,normal,Berg_Prenzlauer_Berg
1649,False,True,True,True,2481.92,155.12,True,4.0,False,normal,Charlottenburg
1688,False,True,False,False,668.0,81.14,False,3.0,False,normal,Spandau
1693,False,True,True,False,973.0,57.95,False,2.0,False,normal,Tiergarten
1699,True,True,True,True,2215.0,119.0,True,4.0,False,normal,Tiergarten
1718,False,False,False,True,400.0,30.0,True,1.0,False,normal,Wilmersdorf
1719,False,False,True,False,340.0,20.0,True,1.0,False,normal,Köpenick
1732,False,True,True,False,1100.0,58.3,False,2.0,False,normal,Pankow
1763,False,True,False,True,439.0,35.49,True,1.0,False,normal,Hellersdorf
1809,False,False,False,False,625.0,30.44,False,1.0,False,normal,Berg_Prenzlauer_Berg
1832,False,False,False,False,491.0,29.6,False,1.0,False,normal,Neukölln
1854,False,True,True,True,1488.0,87.55,True,3.0,False,normal,Tiergarten
1868,False,True,False,True,473.01,56.92,True,2.0,False,normal,Spandau
1895,False,True,True,False,1015.0,96.47,False,3.0,False,normal,Köpenick
1911,False,True,True,True,1080.0,54.0,False,2.0,False,normal,Neukölln
1918,False,False,False,True,800.0,80.86,False,3.0,True,normal,Köpenick
1993,False,False,True,True,7000.0,307.0,False,5.0,True,normal,Mitte
2052,False,True,True,True,2964.0,247.0,True,7.0,False,normal,Charlottenburg
2062,False,True,True,True,570.0,57.0,False,2.0,False,normal,Treptow
2088,False,True,True,True,1596.0,76.0,True,3.0,False,normal,Kreuzberg
2123,False,False,True,False,227.85,29.4,False,1.0,False,normal,Steglitz
2158,False,False,False,False,900.0,45.0,False,1.5,False,normal,Tiergarten
2263,False,True,True,True,1201.0,103.55,False,3.0,False,normal,Köpenick
2274,False,False,False,False,440.25,61.85,True,2.0,False,normal,Marzahn
2307,False,True,False,True,867.24,72.27,True,2.0,True,normal,Köpenick
2334,False,False,False,False,800.0,62.0,False,2.0,True,normal,Reinickendorf
2337,False,False,False,True,749.0,74.49,False,3.0,False,normal,Weißensee
2342,False,False,True,False,505.0,21.0,True,1.0,False,normal,Weißensee
2349,False,True,False,False,1301.16,92.94,False,3.0,False,normal,Tiergarten
2355,False,True,False,False,1084.59,100.1,False,3.0,False,normal,Wilmersdorf
2367,False,True,False,False,1299.0,84.72,False,3.0,False,normal,Neukölln
2436,False,True,False,True,898.0,56.13,False,2.0,False,normal,Schöneberg
2457,False,False,True,True,695.0,50.0,False,1.0,False,normal,Wedding
2469,False,True,True,False,1350.0,103.0,False,3.0,False,normal,Wilmersdorf
2526,False,True,False,False,1300.0,129.0,False,4.0,False,normal,Charlottenburg
2553,False,False,False,True,960.0,97.79,True,3.0,False,normal,Charlottenburg
2637,False,True,True,False,640.0,10.0,False,1.0,False,normal,Tiergarten
2652,False,False,True,False,409.0,29.2,True,1.0,False,normal,Steglitz
2657,False,True,True,True,1750.0,109.0,True,3.0,False,normal,Mitte
2691,False,False,False,True,394.85,46.02,False,1.5,False,normal,Spandau
2709,False,True,False,False,469.0,63.0,True,2.0,False,normal,Reinickendorf
2724,False,True,False,False,410.0,62.0,False,2.0,False,normal,Reinickendorf
2762,False,True,True,True,660.0,70.34,False,2.0,False,normal,Pankow
2790,False,True,True,True,5000.0,120.0,True,3.5,False,normal,Friedrichshain
2803,False,True,True,True,1750.0,81.88,False,3.0,False,normal,Mitte
2829,False,False,False,True,770.0,70.0,False,2.0,False,normal,Tiergarten
2833,False,False,False,False,199.0,20.0,False,1.0,True,normal,Tempelhof
2846,False,True,True,False,1850.0,92.0,True,2.0,False,normal,Charlottenburg
2848,False,True,False,True,488.54,55.39,False,2.0,False,normal,Reinickendorf
2877,False,False,False,False,599.0,48.0,False,2.0,False,normal,Tiergarten
2961,False,True,False,True,565.88,81.59,False,4.0,False,normal,Hellersdorf
3078,False,True,False,False,814.0,52.52,False,2.0,True,normal,Friedrichshain
3112,False,False,True,False,2208.0,138.0,True,5.0,False,normal,Charlottenburg
3130,True,False,False,False,819.0,81.9,True,2.0,False,normal,Reinickendorf
3134,False,True,False,True,965.1,111.96,False,3.0,False,normal,Steglitz
3228,False,False,True,False,400.0,40.29,True,2.0,False,normal,Köpenick
3241,False,True,True,False,1000.0,40.0,True,1.0,False,normal,Kreuzberg
3382,False,True,True,True,1261.5,82.0,False,3.0,False,normal,Wilmersdorf
3445,False,False,False,False,1400.0,45.55,False,2.0,False,normal,Friedrichshain
3463,False,True,True,False,1295.62,58.23,True,2.0,False,normal,Friedrichshain
3486,True,True,False,False,778.4,56.0,False,2.0,False,normal,Lichtenberg
3510,False,True,True,True,650.0,68.0,False,2.5,False,normal,Neukölln
3558,False,True,True,False,1065.0,60.5,False,2.0,False,normal,Wilmersdorf
3562,False,True,True,True,900.0,77.0,False,3.0,False,normal,Lichtenberg
3576,False,True,False,False,450.59,58.77,False,2.0,False,normal,Neukölln
3602,False,True,False,False,3400.0,224.0,False,5.0,False,high,Steglitz
3605,False,True,True,True,693.84,96.5,True,3.0,False,normal,Wedding
3609,False,True,True,True,603.0,30.15,True,1.0,False,normal,Treptow
3633,True,True,True,True,893.92,61.03,True,2.0,False,normal,Lichtenberg
3655,True,True,False,True,850.0,29.0,True,1.0,True,high,Wedding
3797,False,True,True,False,750.0,70.0,False,2.5,False,normal,Treptow
3830,False,False,False,False,649.0,67.21,False,2.5,False,normal,Lichtenberg
3857,False,True,True,True,1350.0,40.0,True,2.0,False,normal,Mitte
3865,False,True,True,True,1250.0,87.0,False,3.0,True,normal,Treptow
3891,False,True,False,True,818.15,105.16,True,3.5,False,normal,Steglitz
3934,False,True,True,False,800.0,43.06,False,2.0,True,normal,Reinickendorf
3948,True,True,False,False,1060.0,53.02,False,2.0,False,normal,Weißensee
3974,False,True,True,True,1160.0,70.0,True,2.0,False,normal,Berg_Prenzlauer_Berg
3997,False,True,False,False,525.19,69.4,True,3.0,False,normal,Hellersdorf
4038,False,False,False,False,421.77,47.0,False,1.0,False,normal,Treptow
4045,False,False,False,False,999.0,107.3,False,3.0,False,normal,Köpenick
4077,False,False,True,True,1570.0,93.0,True,3.0,False,normal,Tiergarten
4142,True,True,False,True,1704.68,97.41,True,3.0,False,normal,Mitte
4150,True,True,True,True,1595.0,82.75,True,3.0,False,normal,Mitte
4182,False,True,False,False,420.14,68.82,False,3.0,False,normal,Marzahn
4200,False,True,True,True,1158.82,113.61,True,4.0,False,normal,Hohenschönhausen_Hohenschönhausen
4212,True,True,True,False,2220.43,108.05,True,4.0,False,normal,Tiergarten
4241,False,False,False,False,1198.0,49.9,True,2.0,False,normal,Berg_Prenzlauer_Berg
4266,True,True,True,True,860.0,48.0,True,1.5,False,normal,Friedrichshain
4299,False,True,False,True,1142.12,94.0,False,3.5,False,normal,Schöneberg
4318,False,False,False,True,634.76,63.54,False,1.0,False,normal,Weißensee
4322,False,True,False,True,995.0,74.73,True,3.0,False,normal,Charlottenburg
4338,False,True,True,False,1555.0,82.0,False,2.0,False,normal,Kreuzberg
4426,False,True,True,True,486.15,68.86,False,2.5,False,high,Steglitz
4532,False,True,True,True,3265.42,143.54,True,3.5,False,normal,Mitte
4559,False,True,False,False,1349.0,85.36,False,3.0,False,normal,Berg_Prenzlauer_Berg
4580,False,False,True,False,1450.0,109.0,False,1.0,False,normal,Mitte
4583,False,True,False,True,500.0,57.5,False,1.0,False,normal,Pankow
4588,False,False,False,False,589.0,64.0,True,2.0,False,normal,Neukölln
4614,False,True,False,True,690.0,52.0,False,2.0,False,normal,Zehlendorf
4630,False,False,True,False,449.0,37.0,False,1.0,False,normal,Steglitz
4644,False,True,True,False,699.0,42.0,True,1.0,False,normal,Charlottenburg
4660,False,True,False,False,735.0,71.98,False,2.0,False,normal,Treptow
4669,True,True,True,True,1666.68,98.04,True,3.0,False,normal,Tiergarten
4686,False,False,False,False,1094.0,60.76,True,2.0,False,normal,Schöneberg
4690,False,True,False,False,1000.0,54.95,True,2.0,False,normal,Friedrichshain
4723,False,False,True,True,816.0,75.0,False,2.0,False,normal,Weißensee
4733,False,True,True,True,4415.0,260.0,True,3.0,False,normal,Mitte
4762,False,False,False,False,713.0,69.26,False,3.0,False,normal,Köpenick
4803,False,False,False,False,695.64,70.94,False,2.0,False,normal,Wedding
4840,False,True,False,True,1621.76,112.31,False,3.0,False,normal,Neukölln
4854,False,True,False,False,1144.0,88.0,False,3.0,False,normal,Reinickendorf
4887,True,True,True,False,990.0,74.68,True,2.0,False,normal,Buchholz_Pankow
4905,True,True,True,True,1790.0,107.89,True,4.0,False,normal,Mitte
4907,False,False,True,False,870.0,56.0,False,2.0,False,normal,Kreuzberg
4941,True,True,True,False,1290.0,51.0,True,2.0,False,normal,Pankow
5008,False,True,False,False,451.52,56.44,False,2.0,False,normal,Marzahn
5015,True,True,True,True,4985.0,151.4,True,4.0,False,normal,Mitte
5036,False,True,False,False,290.0,33.0,True,1.0,False,normal,Reinickendorf
5063,False,True,True,False,967.13,99.91,True,4.0,False,normal,Wilmersdorf
5126,False,True,True,True,3500.0,235.0,False,6.0,False,normal,Zehlendorf
5202,False,False,True,True,533.97,59.33,False,1.5,False,normal,Neukölln
5206,True,True,True,True,1584.8,3.0,True,99.5,False,normal,Neukölln
5235,False,True,False,False,497.0,74.29,False,3.0,False,normal,Spandau
5335,False,True,False,False,1961.46,115.38,True,4.0,False,normal,Mitte
5377,False,True,False,False,2242.64,131.92,True,5.0,False,normal,Mitte
5380,False,False,False,True,1025.0,60.78,False,2.0,False,normal,Friedrichshain
5388,False,True,False,False,430.0,47.63,False,2.0,False,normal,Köpenick
5406,False,True,True,False,2419.0,138.96,False,3.0,False,normal,Berg_Prenzlauer_Berg
5421,False,True,False,True,669.0,59.43,False,2.0,False,normal,Spandau
5437,True,False,True,False,528.13,32.5,True,1.0,False,normal,Lichtenberg
5448,False,True,True,True,661.0,55.05,False,2.0,False,normal,Reinickendorf
5475,False,True,True,True,541.7,60.19,False,2.0,False,normal,Spandau
5482,False,False,False,True,1100.0,30.0,True,2.0,False,normal,Berg_Prenzlauer_Berg
5546,False,False,True,False,800.0,54.17,False,1.0,False,normal,Pankow
5557,False,False,True,False,900.0,60.0,False,2.0,True,normal,Reinickendorf
5608,False,True,True,True,940.0,68.0,True,2.0,False,normal,Tiergarten
5617,False,False,True,True,460.0,19.5,True,1.0,False,normal,Wedding
5691,False,True,False,True,514.94,49.96,False,1.5,False,normal,Köpenick
5692,False,True,False,False,2450.0,250.0,True,7.0,False,normal,Schöneberg
5733,False,False,True,True,1290.0,80.0,False,2.0,False,normal,Charlottenburg
5743,True,True,True,True,1227.0,93.52,True,3.0,False,normal,Tempelhof
5771,True,True,True,True,1230.0,40.0,True,2.0,True,normal,Mitte
5776,False,False,False,True,812.81,71.93,False,3.0,True,normal,Berg_Prenzlauer_Berg
5788,False,True,False,False,976.0,57.4,True,2.0,False,normal,Wedding
5817,True,True,True,True,1120.0,64.0,True,2.0,False,normal,Friedrichshain
5835,False,True,False,False,2901.0,96.69,True,4.0,False,normal,Berg_Prenzlauer_Berg
5863,False,True,False,False,649.0,52.0,True,2.0,False,normal,Charlottenburg
5916,False,False,True,True,1320.0,72.93,False,3.0,False,normal,Mitte
5944,False,False,True,False,611.52,29.12,True,1.0,False,normal,Köpenick
5952,False,True,False,True,569.0,44.05,True,1.5,False,normal,Köpenick
5981,False,True,True,True,700.0,67.6,False,2.0,False,normal,Steglitz
6012,False,False,True,False,435.0,18.2,True,1.0,False,normal,Wedding
6057,True,True,True,True,2717.0,136.0,True,4.0,False,normal,Friedrichshain
6070,False,True,False,False,501.52,67.05,True,3.0,False,normal,Marzahn
6124,True,True,True,True,1740.61,96.97,True,3.0,False,normal,Tiergarten
6133,False,False,True,True,530.0,23.37,True,1.0,False,normal,Schöneberg
6162,False,True,False,True,791.68,49.48,False,1.0,False,normal,Friedrichshain
6189,False,True,True,True,1157.0,60.93,False,2.0,False,normal,Mitte
6222,False,True,True,False,3000.0,262.0,False,7.0,True,normal,Zehlendorf
6253,False,False,True,True,718.83,68.46,False,2.0,True,normal,Köpenick
6266,False,False,False,False,567.0,42.49,False,1.5,False,normal,Neukölln
6280,False,True,True,True,634.89,66.83,False,2.0,True,normal,Neukölln
6326,False,False,True,False,1032.0,73.7,False,3.0,False,normal,Tempelhof
6371,True,True,False,True,850.0,29.0,True,1.0,True,high,Wedding
6381,False,True,False,True,1435.0,89.44,True,2.0,False,normal,Friedrichshain
6390,False,True,True,True,536.22,63.0,False,2.5,False,normal,Lichtenberg
6394,False,True,True,True,1393.92,70.4,True,2.0,False,normal,Mitte
6426,False,True,True,False,586.54,68.64,False,1.5,False,normal,Weißensee
6472,False,True,False,True,717.27,77.88,False,4.0,False,normal,Steglitz
6491,False,False,False,False,970.0,76.76,False,3.0,False,normal,Berg_Prenzlauer_Berg
6521,False,True,True,True,858.65,67.61,True,2.0,True,normal,Köpenick
6540,False,True,False,False,511.44,67.94,False,3.0,False,normal,Tempelhof
6542,False,True,True,True,1659.0,106.92,True,2.0,False,normal,Wilmersdorf
6617,False,True,False,False,1965.2,115.6,True,4.0,False,normal,Mitte
6683,False,True,True,True,5000.0,344.0,False,9.0,True,normal,Zehlendorf
6686,False,False,False,False,730.0,52.0,False,2.0,False,normal,Charlottenburg
6751,False,True,True,True,2262.0,87.76,True,3.0,False,normal,Wilmersdorf
6771,False,True,True,True,728.0,56.0,False,2.0,False,normal,Steglitz
6825,False,True,True,False,599.0,38.89,False,1.0,False,normal,Steglitz
6839,False,False,True,False,1096.67,65.61,True,2.0,False,normal,Charlottenburg
6844,False,False,True,True,581.0,20.5,True,1.0,False,normal,Wedding
6859,False,True,False,False,770.0,25.0,True,1.0,False,normal,Mitte
6880,False,True,True,True,1500.0,98.98,False,3.0,False,normal,Wedding
6917,False,True,True,True,1010.62,87.88,False,3.0,False,normal,Treptow
6919,False,True,True,True,460.0,33.0,False,1.0,False,normal,Spandau
6925,False,True,True,True,1250.0,76.0,False,3.0,False,normal,Wilmersdorf
6948,True,True,True,True,1771.45,97.87,True,4.0,False,normal,Tiergarten
6964,False,True,True,True,3200.0,125.41,True,3.0,False,normal,Friedrichshain
6976,False,True,False,False,1100.0,60.0,False,2.0,False,normal,Pankow
6995,True,True,True,False,864.83,53.22,True,2.0,False,normal,Friedrichshain
7001,False,True,False,True,1420.0,95.0,False,3.5,False,normal,Wilmersdorf
7058,False,True,False,True,1650.0,113.7,True,4.5,False,normal,Steglitz
7079,False,False,True,True,600.0,40.62,False,1.0,False,normal,Reinickendorf
7080,False,True,True,True,1855.0,151.58,False,3.0,True,normal,Charlottenburg
7155,False,True,False,False,663.0,56.11,False,2.0,False,normal,Wedding
7176,True,True,False,True,1455.0,103.99,True,4.0,False,normal,Steglitz
7195,False,True,True,False,529.0,56.0,False,2.0,False,normal,Köpenick
7223,False,False,False,False,882.0,88.2,False,3.0,False,normal,Tiergarten
7261,False,True,True,True,699.0,78.5,False,3.0,False,normal,Hellersdorf
7275,False,True,True,True,1490.0,87.0,True,2.0,False,normal,Wilmersdorf
7281,False,True,True,False,1250.0,52.0,True,2.0,False,normal,Friedrichshain
7288,False,True,True,False,800.0,35.0,True,1.0,False,normal,Tempelhof
7296,True,True,False,True,1590.0,76.31,False,3.0,True,normal,Steglitz
7300,False,False,True,False,765.0,54.0,False,2.0,False,normal,Tiergarten
7343,False,False,True,False,749.0,38.0,False,1.0,False,normal,Charlottenburg
7417,True,True,True,True,1200.0,65.5,True,2.0,False,normal,Wilmersdorf
7545,True,True,False,False,1641.0,93.0,True,3.0,False,normal,Treptow
